Name,Early 1998,Early 1999,Late 1999,Early 2000,Late 2000,Early 2001,Late 2001,Early 2002,Late 2002,Early 2003,Late 2003,Early 2004,Late 2004,Early 2005,Late 2005,Early 2006,Late 2006,Early 2007,Late 2007,Early 2008,Late 2008,Early 2009,Late 2009,Early 2010,Late 2010,Early 2011,Late 2011,Early 2012,Late 2012,Early 2013,Late 2013,Early 2014,Late 2014,Early 2015,Late 2015,Early 2016,Late 2016,Early 2017,Late 2017,Early 2018,Late 2018,Early 2019
naruse,0,0,0,0,0,0,0,0,0,0,0,0,20,13,9,4,6,5,20,153,126,38,154,171,206,140,150,195,198,173,92,131,62,43,87,153,67,54,75,47,121,1
ngoto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,29,4,4,3,10,11,31,10,17,1,5,11,1,0
nobu,0,0,0,0,0,0,49,159,189,188,232,215,116,148,184,39,161,170,457,509,494,651,632,485,511,279,304,596,568,774,854,705,863,748,933,843,639,770,607,677,566,0
normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,146,73,122,16,18,103,83,202,250,0
ntalbott,0,0,0,0,0,0,0,0,0,2,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocean,0,0,0,0,0,0,0,0,0,0,0,51,31,68,131,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
odaira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,14,0,1,1,0,6,0
okkez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
rhe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,35,9,31,1,4,0
ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,2,0,3,30,5,3,3,11,19,9,2,7,3,0,2,0,0,0,0,0,0,0,0,0,0
samuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
seki,0,0,0,0,0,0,0,0,4,6,24,20,4,20,11,2,0,0,3,1,7,4,0,3,0,2,2,2,2,0,0,0,0,0,1,4,0,0,0,1,0,0
ser,0,0,0,0,0,0,0,0,0,4,5,16,4,2,0,1,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shigek,0,0,0,0,0,0,0,0,0,15,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shirosaki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,37,13,0,3,1,0,1,0,0,0,2,0,5,0
sho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,0,0,0,0,0
shugo,0,0,4,3,18,13,7,4,5,4,15,8,12,16,4,0,7,10,14,1,28,4,19,21,3,9,9,35,71,27,10,5,2,15,39,11,68,8,15,2,3,0
shyouhei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,8,14,1,4,9,31,19,11,15,11,0,1,4,1,0,0,1,11,26,6,151,127,0
siena,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sonots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,1,3,18,0,0,0
sorah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,14,5,5,2,10,7,1,3,7,4,0,5,12,0,2,0
stomar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,41,27,47,0
suke,0,0,0,0,0,0,0,3,4,2,1,3,10,2,13,23,5,28,12,9,40,1,9,7,8,0,2,0,3,3,1,1,68,5,3,0,4,2,10,2,28,0
svn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,155,113,139,147,157,171,176,181,183,182,183,193,253,214,241,222,220,224,235,212,358,5
tadd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0
tadf,0,0,0,0,0,0,0,7,0,5,1,3,2,1,1,1,22,9,14,47,79,44,24,5,15,97,14,37,38,6,7,7,0,0,0,0,0,0,0,0,0,0
takano32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,1,0,0,1,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0
tarui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,3,2,0,19,21,22,2,2,0,0,3,0,0,1,1,1,0
technorama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenderlove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,58,42,50,35,35,43,19,14,8,10,16,30,1,4,2,1,7,19,0
tmm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,69,7,0,1,0,0,0,0,0,0,0,0
ts,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ttate,0,0,0,0,0,0,6,51,11,3,6,1,8,20,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uema2,0,0,0,0,0,0,0,0,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usa,0,0,0,0,0,12,29,26,21,30,70,52,65,42,41,46,34,63,78,152,125,76,76,83,94,60,78,56,103,31,48,41,83,70,52,47,41,33,42,30,16,0
wakou,0,0,0,7,8,7,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wanabe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,12,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watson1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,1,0
wew,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
why,0,0,0,0,0,0,0,0,0,23,22,14,6,1,7,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xibbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,8,1,1,0,2,0,14,25,3,1,0,1,0,0,0,0,0,0,0,0
yugui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,128,28,33,7,9,9,11,15,9,15,1,2,12,1,4,0,0,0,4,0,0,0
yui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,6,2,118,36,13,0
yuki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,0
zsombor,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zzak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,172,158,50,29,9,13,2,0,0,0,0,0,0
